province,date,avg_pet,avg_precipitation,water_balance,spei
Badajoz,2011-12-01,285.31944918492263,12.362454806039748,-272.9569943788829,-0.4311440204049559
Badajoz,2012-01-01,324.43799101708674,15.012969949225692,-309.42502106786105,-0.17550079415055939
Badajoz,2012-02-01,504.81347316150783,2.792541222026561,-502.0209319394813,-1.0777905811566264
Badajoz,2012-03-01,922.321346047548,17.200487505776657,-905.1208585417713,-1.5317574417700695
Badajoz,2012-04-01,1016.8941472122456,48.595352082471216,-968.2987951297744,0.6141374991987825
Badajoz,2012-05-01,1616.8028259628527,39.2063532816025,-1577.5964726812501,-0.2533342100836221
Badajoz,2012-06-01,2119.981596203855,0.1343087476175948,-2119.8472874562376,-1.3950660389059353
Badajoz,2012-07-01,2304.5716835863977,0.7422139528140312,-2303.829469633584,-0.559488802229851
Badajoz,2012-08-01,2113.1963554865524,0.6527502997828268,-2112.5436051867696,-1.0725716592726986
Badajoz,2012-09-01,1380.7810784932617,67.25777698574024,-1313.5233015075214,0.2850862148745911
Badajoz,2012-10-01,795.7802780655616,89.32122220779092,-706.4590558577706,0.6941166790950132
Badajoz,2012-11-01,425.86027250787566,144.6493824624778,-281.21089004539783,1.4638696908928488
Badajoz,2012-12-01,291.68238726806464,51.42956387262021,-240.25282339544444,0.22381133296416053
Badajoz,2013-01-01,360.7880709088326,63.03213792728484,-297.75593298154774,0.11843645468642604
Badajoz,2013-02-01,475.673905754924,80.86121489822476,-394.81269085669925,0.531219301624877
Badajoz,2013-03-01,709.6729029549372,197.7505232984868,-511.9223796564504,1.6301158495838235
Badajoz,2013-04-01,1103.2992391406117,38.15370326181839,-1065.1455358787932,0.5186339477736882
Badajoz,2013-05-01,1460.3941789273044,19.73788862275086,-1440.6562903045535,0.6341653763039848
Badajoz,2013-06-01,1982.581756893493,3.495283517532385,-1979.0864733759606,0.03850936917491291
Badajoz,2013-07-01,2235.475541647913,1.8998317591588556,-2233.575709888754,0.6405686270715003
Badajoz,2013-08-01,2030.1170255502564,7.544864727718656,-2022.5721608225376,0.22359293446584494
Badajoz,2013-09-01,1366.9847163616462,34.0155101744932,-1332.969206187153,0.061041475251058526
Badajoz,2013-10-01,809.5857529910315,88.52802252071291,-721.0577304703186,0.5548755430087075
Badajoz,2013-11-01,474.0052949047486,7.764456781434904,-466.2408381233137,-1.244997676310302
Badajoz,2013-12-01,332.58609128500365,72.53916205791471,-260.0469292270889,-0.15172255823567696
Badajoz,2014-01-01,361.21750792121327,89.68864872701788,-271.5288591941954,0.7599161334279929
Badajoz,2014-02-01,464.9623164679692,101.19175529263931,-363.7705611753299,0.9060285410699275
Badajoz,2014-03-01,868.4715455503763,38.38404521057287,-830.0875003398035,-0.6257779448355968
Badajoz,2014-04-01,1155.761517852557,47.45911928789114,-1108.302398564666,0.46919785302088035
Badajoz,2014-05-01,1670.7321466866813,15.47677400452468,-1655.2553726821566,-0.774085433905934
Badajoz,2014-06-01,1979.6727428693955,17.469213738359795,-1962.2035291310358,0.20011981580547297
Badajoz,2014-07-01,2188.004406883072,6.548392650563464,-2181.4560142325086,1.426415116996345
Badajoz,2014-08-01,2071.2656000338284,0.0,-2071.2656000338284,-0.5022256175194584
Badajoz,2014-09-01,1274.1443548703746,85.79864561592152,-1188.3457092544531,1.4896277211221702
Badajoz,2014-10-01,864.1108426238318,83.16742531103407,-780.9434173127977,-0.03905474755387532
Badajoz,2014-11-01,441.68771841859615,133.50726274869882,-308.18045566989736,1.1554715704127299
Badajoz,2014-12-01,299.78900121725417,21.30878990434132,-278.48021131291284,-0.5592523279467662
Badajoz,2015-01-01,376.79168340517,44.91116762768327,-331.8805157774867,-0.7246903898909206
Badajoz,2015-02-01,500.89769325798176,18.13067812838858,-482.7670151295932,-0.7728654889761767
Badajoz,2015-03-01,853.3360799581964,37.50708756074945,-815.8289923974469,-0.4671053643627498
Badajoz,2015-04-01,1098.1466051293812,57.84349071050787,-1040.3031144188733,0.5449830994288875
Badajoz,2015-05-01,1711.4359370894017,1.853473403146738,-1709.5824636862549,-1.1239315671206662
Badajoz,2015-06-01,1974.856814056113,17.330703500436446,-1957.5261105556767,0.2439273381602445
