system:index,actual_evapotranspiration,community,date,max_temperature,min_temperature,potential_evapotranspiration,precipitation,province,soil_moisture,.geo
200705_00000000000000000012,1023.0751715924404,Castilla-La Mancha,2007-05-01T00:00:00,20.00945717240731,7.475462542179878,1281.998610545232,87.47510473145921,Guadalajara,297.6476478515688,"{""type"":""MultiPoint"",""coordinates"":[]}"
200705_0000000000000000002a,834.8722996266044,Castilla-La Mancha,2007-05-01T00:00:00,23.588844075825428,10.538321069444795,1413.0749867246573,79.48926593673355,Toledo,167.64725095034603,"{""type"":""MultiPoint"",""coordinates"":[]}"
200705_00000000000000000007,704.2182899737152,Cataluña/Catalunya,2007-05-01T00:00:00,20.33238340914824,11.462404485421565,1280.1783996679865,58.6250701864314,Barcelona,474.15445083694755,"{""type"":""MultiPoint"",""coordinates"":[]}"
200705_00000000000000000010,753.1895918259305,Cataluña/Catalunya,2007-05-01T00:00:00,19.550034411562272,11.306923606331724,1223.8267457250247,71.00175763671973,Girona,708.050367939012,"{""type"":""MultiPoint"",""coordinates"":[]}"
200705_00000000000000000018,726.3805016393607,Cataluña/Catalunya,2007-05-01T00:00:00,18.705899641244972,8.088127113540553,1218.7642459710828,81.41471461733651,Lleida,558.348743842745,"{""type"":""MultiPoint"",""coordinates"":[]}"
200705_00000000000000000028,490.71419789168135,Cataluña/Catalunya,2007-05-01T00:00:00,22.602914558684184,12.114859008727532,1414.256505351419,37.64576824622579,Tarragona,247.64382319150212,"{""type"":""MultiPoint"",""coordinates"":[]}"
200705_00000000000000000030,553.4529616724741,Ciudad Autónoma de Ceuta,2007-05-01T00:00:00,23.229268292682935,13.745993031358887,1386.7804878048782,37.73170731707318,Ceuta,467.04878048780495,"{""type"":""MultiPoint"",""coordinates"":[]}"
200705_00000000000000000031,132.95024875621888,Ciudad Autónoma de Melilla,2007-05-01T00:00:00,24.066169154228856,14.89452736318408,1481.8258706467661,9.238805970149254,Melilla,163.2238805970149,"{""type"":""MultiPoint"",""coordinates"":[]}"
200705_0000000000000000001e,898.9253033042704,Comunidad Foral de Navarra,2007-05-01T00:00:00,19.543571381682987,8.934839560544486,1140.4469687475753,87.88216934911172,Navarra,1224.7218552136108,"{""type"":""MultiPoint"",""coordinates"":[]}"
200705_0000000000000000001b,905.6267042370449,Comunidad de Madrid,2007-05-01T00:00:00,21.845623263833467,9.026942111817114,1330.578674287175,93.64386634311435,Madrid,273.1925029534786,"{""type"":""MultiPoint"",""coordinates"":[]}"
200705_00000000000000000002,225.30982050729654,Comunitat Valenciana,2007-05-01T00:00:00,24.62957037406597,12.615249509598268,1586.3198213010098,22.341569058768837,Alacant/Alicante,68.15599877541298,"{""type"":""MultiPoint"",""coordinates"":[]}"
200705_0000000000000000000b,512.9932336666343,Comunitat Valenciana,2007-05-01T00:00:00,21.5387253664693,11.101151344529667,1379.7686535287837,38.50444617027473,Castelló/Castellón,219.43847199301047,"{""type"":""MultiPoint"",""coordinates"":[]}"
200705_0000000000000000002b,312.442827280011,Comunitat Valenciana,2007-05-01T00:00:00,23.402232570468136,12.076380898449962,1506.4462128833643,29.254974487490745,València/Valencia,115.29564992138408,"{""type"":""MultiPoint"",""coordinates"":[]}"
200705_00000000000000000005,834.6444138355994,Extremadura,2007-05-01T00:00:00,23.960871929172725,11.547502408936149,1499.988751249776,70.29303840101002,Badajoz,378.29622212354866,"{""type"":""MultiPoint"",""coordinates"":[]}"
200705_00000000000000000009,997.6059716982369,Extremadura,2007-05-01T00:00:00,22.82163263840841,10.970218529300409,1404.7334405963202,79.39392060363166,Cáceres,685.7945021735437,"{""type"":""MultiPoint"",""coordinates"":[]}"
200705_0000000000000000000e,911.847617427084,Galicia,2007-05-01T00:00:00,17.799745539201645,10.615888717873354,950.0470404430248,95.90941504953867,A Coruña,1972.0356322461384,"{""type"":""MultiPoint"",""coordinates"":[]}"
200705_0000000000000000001a,965.1273827174393,Galicia,2007-05-01T00:00:00,17.682276398350943,8.470427716157126,966.571877209116,113.96014989146018,Lugo,2178.1420277887264,"{""type"":""MultiPoint"",""coordinates"":[]}"
200705_0000000000000000001f,1039.8236572626379,Galicia,2007-05-01T00:00:00,17.749244012233255,7.93256159582145,1040.8885089859461,132.50496546510433,Ourense,1824.0620339507238,"{""type"":""MultiPoint"",""coordinates"":[]}"
